Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
3,98358471,36.957321,-1.478348,0.135723813,-85,0,-10,0.135723813,0
2,1004,36.822891,-1.299591,0.135734072,-85,0,-10,0.135734072,0
3,274187,36.802292,-1.297073,0.135734172,-85,0,-10,0.135734172,0
3,150846697,35.275955,0.515671,0.135763484,-85,0,-10,0.135763484,0
3,150828120,35.276244,0.514362,0.135894565,-85,0,-10,0.135894565,0
3,274037,36.811066,-1.273727,0.136068978,-85,0,-10,0.136068978,0
3,137668720,34.761178,-0.102839,0.136128511,-85,0,-10,0.136128511,0
2,8706,38.538023,-3.406072,0.136297136,-85,0,-10,0.136297136,0
4,7925253,39.75059509,-3.950271606,0.136381982,-85,0,-10,0.136381982,0
2,33012,40.115341,-3.199081,0.136432197,-85,0,-10,0.136432197,0
2,9852,40.110245,-3.223953,0.136603746,-85,0,-10,0.136603746,0
2,12415,37.627945,-2.170487,0.13693794,-85,0,-10,0.13693794,0
3,78695924,36.874161,-1.284103,0.13729886,-85,0,-10,0.13729886,0
2,16341,39.565887,-4.288101,0.137341062,-85,0,-10,0.137341062,0
3,33516656,36.921066,-1.314926,0.1374007,-85,0,-10,0.1374007,0
3,98421188,36.824799,-1.310806,0.137400995,-85,0,-10,0.137400995,0
3,510300,36.7733,-1.304626,0.13740129,-85,0,-10,0.13740129,0
3,98485098,36.827682,-1.30394,0.137401356,-85,0,-10,0.137401356,0
3,78687001,36.869431,-1.297073,0.137401684,-85,0,-10,0.137401684,0
2,5922,36.845535,-1.288834,0.137402143,-85,0,-10,0.137402143,0
3,469613,36.833176,-1.28746,0.137402241,-85,0,-10,0.137402241,0
3,72117031,36.87973,-1.265488,0.137403455,-85,0,-10,0.137403455,0
2,6896,36.840042,-1.261368,0.137403619,-85,0,-10,0.137403619,0
2,354,36.837708,-1.320625,0.137404931,-85,0,-10,0.137404931,0
3,72510210,36.874237,-1.232529,0.137405128,-85,0,-10,0.137405128,0
3,404358,36.919693,-1.220169,0.137405783,-85,0,-10,0.137405783,0
3,1052689,39.85771179,-3.633041382,0.137420508,-85,0,-10,0.137420508,0
2,1581,35.111069,0.20256,0.137436084,-85,0,-10,0.137436084,0
3,196861178,39.80896,-3.653297,0.137521472,-85,0,-10,0.137521472,0
3,3002927,38.076897,-2.622986,0.137524421,-85,0,-10,0.137524421,0
2,18785,37.285194,-1.918488,0.137582276,-85,0,-10,0.137582276,0
2,272,39.738922,-3.972931,0.137633461,-85,0,-10,0.137633461,0
2,1726,34.112778,0.462112,0.138099569,-85,0,-10,0.138099569,0
2,16702,38.444595,-2.978325,0.138220936,-85,0,-10,0.138220936,0
3,443234,36.927795,-1.192017,0.138261357,-85,0,-10,0.138261357,0
3,150852631,35.301682,0.50386,0.138285637,-85,0,-10,0.138285637,0
3,33528930,36.791969,-1.325912,0.138289482,-85,0,-10,0.138289482,0
2,9664,35.276836,0.520847,0.138455573,-85,0,-10,0.138455573,0
3,34165341,36.824335,-1.286245,0.138847636,-85,0,-10,0.138847636,0
2,5211,34.754425,0.285095,0.139331029,-85,0,-10,0.139331029,0
2,726,34.750168,0.278641,0.139615356,-85,0,-10,0.139615356,0
2,6386,36.804543,-1.259537,0.139849426,-85,0,-10,0.139849426,0
2,12956,36.921616,-1.226692,0.139851166,-85,0,-10,0.139851166,0
2,12881,36.880074,-1.218796,0.139851617,-85,0,-10,0.139851617,0
2,13695,36.8993,-1.19957,0.139852551,-85,0,-10,0.139852551,0
2,15484,36.083794,-0.283813,0.139881516,-85,0,-10,0.139881516,0
2,8472,35.125656,0.857773,0.139890472,-85,0,-10,0.139890472,0
2,29806,36.735306,-1.354752,0.13995527,-85,0,-10,0.13995527,0
3,72473616,36.755447,-1.340561,0.139956107,-85,0,-10,0.139956107,0
3,98479284,36.831436,-1.30806,0.139957942,-85,0,-10,0.139957942,0
2,24951,36.819649,-1.290207,0.139958973,-85,0,-10,0.139958973,0
3,34188761,36.8196,-1.284714,0.139959263,-85,0,-10,0.139959263,0
3,78663954,36.902847,-1.28334,0.139959295,-85,0,-10,0.139959295,0
3,65644366,36.819649,-1.273727,0.139959874,-85,0,-10,0.139959874,0
3,65581231,36.762428,-1.263084,0.139960389,-85,0,-10,0.139960389,0
3,72469010,36.663208,-1.244888,0.139961388,-85,0,-10,0.139961388,0
2,4740,36.798134,-1.233215,0.139961999,-85,0,-10,0.139961999,0
