Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
498,47.39858899,8.061059387,3.750253301,2511,1000,3,1
4451,47.39859142,8.094786225,50.68319886,2511,1000,3,1
4302,47.39867626,8.550591176,10.82108819,2511,1000,3,1
7210,47.39877108,8.453274837,43.62242165,2511,1000,3,1
12037,47.39878735,8.060968974,40.89280859,2514,1000,3,1
1957,47.39879564,7.693211111,181.2426314,2514,1000,3,0
6085,47.39897578,9.323165245,115.327292,2515,1000,3,0
2419,47.39899408,8.286001991,24.75268315,2515,1000,3,1
3008,47.39900813,8.063395764,49.71535406,2515,1000,3,1
3335,47.39901011,8.510496684,81.04432624,2514,1000,3,0
12528,47.39903523,7.781647548,83.51632754,2514,1000,3,0
1612,47.39907164,8.532727925,165.3691131,2514,1000,3,0
9446,47.39911231,7.045527763,155.8648382,2515,1000,3,0
5239,47.39912961,8.447253929,10.59171199,2515,1000,3,1
590,47.39919452,8.542507461,28.50249914,2515,1000,3,1
7794,47.39925363,8.286178335,25.9028648,2515,1000,3,1
12775,47.39937049,8.519128366,1.556957799,2515,1000,3,1
9465,47.39942859,8.505126426,5.325258692,2515,1000,3,1
10788,47.39942885,8.457235224,18.75875442,2515,1000,3,1
1518,47.39946487,8.625936752,14.46752614,2514,1000,3,1
8902,47.39946906,8.495827163,5.312110308,2515,1000,3,1
5608,47.3994989,8.54360011,1.171086121,2515,1000,3,1
11415,47.39951817,8.533068297,1.639912402,2514,1000,3,1
658,47.39963842,8.547815904,6.30950763,2515,1000,3,1
3370,47.39967354,8.604558659,47.53503797,2514,1000,3,1
1860,47.39969625,8.177065792,26.30033883,2515,1000,3,1
11956,47.39979627,8.413590401,2.548626116,2515,1000,3,1
11489,47.3998705,8.436510629,4.930292563,2515,1000,3,1
6328,47.39995696,8.392171525,38.65593205,2515,1000,3,1
1401,47.40003493,8.044530385,55.40394976,2515,1000,3,1
427,47.40004635,8.542790075,11.69060102,2515,1000,3,1
3351,47.40008549,8.437653982,4.833351765,2515,1000,3,1
572,47.40011536,8.481121348,70.5209426,2515,1000,3,0
4563,47.40034349,7.846911315,175.7976344,2515,1000,3,0
9735,47.40036858,9.427897424,113.3250095,2515,1000,3,0
7209,47.40049369,8.408741137,113.3686086,2515,1000,3,0
5933,47.40057775,9.428289525,216.730325,2515,1000,3,0
8199,47.40071332,7.479186891,102.9999121,2515,1000,3,0
8880,47.40078181,8.405487352,38.54017917,2515,1000,3,1
5983,47.40089425,8.058887212,101.1186487,2515,1000,3,0
2127,47.40090439,7.149505357,181.0317979,2515,1000,3,0
7464,47.40096479,8.777563428,36.10607455,2515,1000,3,1
5908,47.40100552,8.452853701,17.96816952,2515,1000,3,1
305,47.40103059,8.61444533,126.4028691,2515,1000,3,0
8799,47.40112757,7.477677021,117.948682,2515,1000,3,0
6857,47.40117647,8.538415001,119.0173574,2515,1000,3,0
12088,47.40122395,9.60876381,111.6188335,2515,1009,3,0
1657,47.40127971,8.604951526,6.019175522,2515,1000,3,1
250,47.40138158,8.550819874,117.9766186,2515,1000,3,0
7096,47.40148161,9.61180909,110.4778427,2515,1000,3,0
7151,47.40149546,8.618257981,55.79144835,2515,1000,3,1
2361,47.40149961,9.120002531,58.79820111,2515,1000,3,1
259,47.40150746,8.591217604,16.29464947,2515,1000,3,1
10445,47.40153573,8.444676304,111.2256323,2515,1000,3,0
9119,47.40160144,7.444400163,106.7300166,2515,1000,3,0
5043,47.40174564,8.404246251,21.92889486,2515,1000,3,1
11044,47.40177659,8.207034964,82.6136598,2515,1000,3,0
3556,47.40177883,7.464072472,118.4566719,2515,1000,3,0
2414,47.40179281,8.529378916,6.387737345,2515,1000,3,1
5329,47.40179405,8.586825218,9.72445676,2515,1000,3,1
1297,47.40180227,8.499371078,5.754250797,2515,1000,3,1
2921,47.40181045,8.551120298,0.105797414,2515,1000,3,1
11891,47.40193629,8.552063584,0.079629496,2515,1000,3,1
10867,47.40195638,8.552779434,47.90795843,2515,1000,3,1
6495,47.40196005,8.121932812,45.90592121,2515,1000,3,1
7624,47.40196664,8.53477468,43.54305988,2515,1000,3,1
9939,47.40196744,8.143182535,44.62881155,2515,1000,3,1
2890,47.40197256,8.54453908,55.55178518,2515,1000,3,1
12737,47.40197554,8.044949873,39.60941408,2515,1000,3,1
9675,47.40210414,8.401165869,2.796100826,2515,1000,3,1
10220,47.40212587,8.426311799,38.50012662,2515,1000,3,1
3518,47.40214585,8.080071842,46.67872973,2515,1000,3,1
6677,47.40258032,8.499863524,117.5404011,2515,1000,3,0
2555,47.40265382,7.442797304,117.3697207,2515,1000,3,0
3427,47.40267536,8.498328561,8.777453967,2515,1000,3,1
4621,47.40271618,8.57726609,91.43725999,2515,1000,3,0
1587,47.40278988,7.754951059,91.96930036,2515,1000,3,0
6491,47.40280387,8.582050848,15.65571166,2518,1000,3,1
6874,47.40280675,8.44125565,18.8676953,2518,1000,3,1
6799,47.40294623,8.610936854,54.4322024,2517,1000,3,1
1122,47.40300646,8.121416301,64.36675621,2518,1000,3,1
4824,47.40303968,7.542552157,64.69098686,2518,1393,3,1
8704,47.40310614,8.124332175,40.94816032,2518,1000,3,1
2930,47.40314162,8.492587826,90.11953279,2518,1307,3,0
4076,47.40317074,9.303052255,95.54673975,2517,2492,3,0
9485,47.40317161,8.443779781,10.15040761,2517,1000,3,1
1013,47.40317822,8.535064589,2.102103513,2517,1000,3,1
12640,47.40326607,8.516160118,23.29940026,2518,1000,3,1
1311,47.40328126,8.725696658,31.01070204,2517,1000,3,1
6959,47.40335556,9.004582592,50.76670591,2518,1000,3,1
9277,47.40339634,8.548026639,1.399330934,2517,1000,3,1
3592,47.40353443,8.535442894,5.257855885,2518,1000,3,1
634,47.40356871,8.488157873,3.0509815,2520,1000,3,1
11199,47.40358973,8.460719745,14.2020303,2520,1000,3,1
349,47.40363997,8.588441662,126.7151582,2518,1000,3,0
12179,47.4037148,7.448864868,127.8616827,2520,8100,3,0
8508,47.4037798,8.598752605,4.650939343,2520,1000,3,1
2004,47.40382329,8.556925724,2.480878959,2519,1000,3,1
