Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,6/29/2018 20:30,Queens,Playground,Paul Raimonda Playground,"MUTS  "" Wonder """,Community Based Event,Mobile Unit,Play,General Public,248,3
Recreation,Bronx River Alliance,6/29/2018 20:30,Bronx,Park,Concrete Plant Park,Movies Under The Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,Council Member Gibson,6/29/2018 20:30,Bronx,Park,Mullaly Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,206,3
Recreation,,6/28/2018 19:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars - Pride Series: Saturday Church,Community Based Event,Performance,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,29,1
Recreation,,6/21/2018 20:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars- Pride Series: God's Own Country,Community Based Event,Performance,Movies,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,89,2
Recreation,,6/28/2018 20:30,Bronx,Park,Frank Frisch Field,Movies Under The Stars: Paddington 2,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,Councilman Cohen,6/27/2018 20:30,Bronx,Park,Seton Park,Movies Under The Stars: Jumanji Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,6/26/2018 18:00,Manhattan,Playground,Moore Playground,Movies Under the Stars: Fences,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,6/27/2018 18:00,Manhattan,Park,J. Hood Wright Park,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,115,3
Recreation,Councilman Perkins,6/27/2018 18:00,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Marshall,Community Based Event,Mobile Unit,Movies,General Public,42,2
Recreation,,6/26/2018 20:30,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,220,3
Recreation,,6/16/2018 21:00,Staten Island,Park,Von Briesen Park,Movies Under the Stars: Cat and the Hat,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,6/16/2018 21:00,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,135,3
Recreation,Councilman Cabrera,6/25/2018 20:30,Bronx,Park,St. James Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,132,3
Recreation,Council Member Kallos,6/22/2018 17:00,Manhattan,Playground,Stanley Isaacs Playground,Skate Night,Community Based Event,Sport,Fitness,General Public,227,3
Recreation,MOCA,6/22/2018 18:00,Manhattan,Park,Columbus Park,Movies Under the Stars: Pushing Hands,Community Based Event,Mobile Unit,Movies,General Public,77,2
Recreation,,6/21/2018 18:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movies Under the Stars: God's Own Country,Community Based Event,Mobile Unit,Movies,General Public,89,2
Recreation,,6/21/2018 18:00,Manhattan,Playground,Vesuvio Playground,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,52,2
Recreation,,6/23/2018 20:30,Bronx,Park,Crotona Park,Movies Under The Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,42,2
Recreation,,6/20/2018 20:30,Bronx,Playground,Story Playground,Movies Under The Stars: The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,35,2
Recreation,,6/2/2018 20:30,Bronx,Park,Virginia Park,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,75,2
Recreation,,6/22/2018 20:30,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,43,2
Recreation,Councilman Cohen,6/22/2018 20:30,Bronx,Park,St. James Park,Movies Under The Stars: Thor Ragnarok,Community Based Event,Mobile Unit,Movies,General Public,39,2
Recreation,,6/21/2018 20:30,Bronx,Park,Poe Park,Movies Under The Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,80,2
Recreation,,6/22/2018 20:00,Queens,Park,John Golden,"MUTS "" Back To The Future """,Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,,6/22/2018 20:30,Queens,Other,Rory Staunton Field,"MUTS "" Paddington """,Community Based Event,Mobile Unit,Movies,General Public,119,3
Recreation,,6/22/2018 20:30,Queens,Park,"Phil ""Scooter"" Rizzuto Park",MUTS - Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,89,2
Recreation,,6/21/2018 20:30,Bronx,Park,Harris Park,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,6/16/2018 20:00,Queens,Park,Edward Byrne,"MUTS "" Ferdinand """,Community Based Event,Mobile Unit,Movies,General Public,114,3
Recreation,,6/10/2018 20:00,Queens,Playground,Ehrenreich/Austin Playground,MUTS,Community Based Event,Mobile Unit,Movies,General Public,148,3
Recreation,,6/19/2018 12:00,Bronx,Park,Van Courtlandt Park S,Play at VC,Community Based Event,Mobile Unit,Play,Children;#General Public,60,2
Recreation,Councilman Cohen,6/20/2018 20:30,Bronx,Park,Seton Park,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,60,2
Recreation,Arenn @Fizz Corp,6/15/2018 8:00,Manhattan,Recreation Center,Recreation Center 54,3 VS 3 Intergenerational Father's Basketball tournament,Tournament/Competition,Sport,Tier 1,Young Adult;#Adults;#Seniors,16,1
Recreation,,6/19/2018 20:00,Manhattan,Playground,Wright Brothers Playground,Movies under the stars: Logan,Community Based Event,Mobile Unit,Movies,General Public,60,2
Recreation,Drey Spivey - Department of Corrections,6/16/2018 9:30,Manhattan,Recreation Center,Recreation Center 54,Pre-Father's Day Family Clinic and Corrections Dad's Game,Tournament/Competition,Sport,Tier 1,Children;#General Public,42,2
Recreation,Central Recreation Art Instructor- Soomi,6/20/2018 15:30,Manhattan,Recreation Center,Asser Levy Recreation Center,Children's Art Exploration Exhibition,Local Event,Arts/Culture,,Children;#General Public,20,1
Recreation,Councilman Cohen,6/19/2018 20:30,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,126,3
Recreation,,6/15/2018 20:30,Staten Island,Other,Midland Field,Movies Under the Stars: Transformers: The Last Knight,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,6/15/2018 20:30,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: The Black Panther,Community Based Event,Mobile Unit,Movies,General Public,125,3
Recreation,Councilman Cabrera,6/18/2018 20:30,Bronx,Park,St. James Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,136,3
Recreation,Council Member Rory Lancman,6/17/2018 13:00,Queens,Playground,Mauro,Family Day at Mauro Playground,Community Based Event,Family Festival,Play,General Public,387,4
Recreation,,6/14/2018 20:00,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: The Shape of Water,Community Based Event,Mobile Unit,Movies,General Public,220,3
Recreation,,6/16/2018 20:00,Manhattan,Playground,Little Flower Playground,Movies Under the Stars: The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,275,3
Recreation,"Harlem Renaissance Orchestra, Harlem Swing Dance Society",6/16/2018 17:00,Manhattan,Park,Marcus Garvey Park,Tonight We dance: Jazz & Swing,Community Based Event,Performance,Dance,General Public,445,4
Recreation,MOCA,6/15/2018 20:00,Manhattan,Park,Columbus Park,Movies Under the Stars: MOCA: The Lego Ninjago Movie,Community Based Event,Mobile Unit,Movies,General Public,227,3
Recreation,Councilman Torres,6/16/2018 20:30,Bronx,Playground,Parkside Playground,Movies Under The Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,26,1
Recreation,,6/16/2018 11:00,Bronx,Park,Crotona Park,2018 Family Engagement Workshop,Community Based Event,Mobile Unit,Play,Children,100,3
Recreation,,6/15/2018 11:00,Bronx,Other,South Bronx Charter School,2018 Annual Picnic,Community Based Event,Mobile Unit,Play,Children,400,4
Recreation,,6/11/2018 10:00,Bronx,Park,Poe Park,Youth Arts Festival,Community Based Event,Mobile Unit,Play,Children;#General Public,150,3
Recreation,,6/6/2018 11:00,Bronx,Other,P.S 195,Degrees of Fitness and Fun,Community Based Event,Mobile Unit,Play,Children,200,3
Recreation,,6/2/2018 11:00,Bronx,Park,Mullaly Park,Outdoors for Autism 2,Community Based Event,Mobile Unit,Play,Children;#Adaptive,80,2
Recreation,,5/29/2018 11:00,Bronx,Park,Mullaly Park,CB 4 Youth Day,Community Based Event,Mobile Unit,Play,Children,100,3
Recreation,Kimberly.Donovan/ Rocio.Chavira,6/16/2018 11:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Serve and Spike Volleyball Tournament,Tournament/Competition,Sport,Tier 2,Young Adult;#Adults,43,2
Recreation,,6/15/2018 20:30,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,58,2
Recreation,,6/14/2018 20:30,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movie Under The Stars: Rooftop Series Showing of Stonewall,Community Based Event,Arts/Culture,Movies,Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,47,2
Recreation,Council member Richards,6/15/2018 0:00,Queens,Park,Cordozo,Skate Night at Cordozo Park,Community Based Event,Family Festival,Play,General Public,201,3
Recreation,World Ice Arena,3/16/2018 19:00,Queens,Other,World Ice Arena ( FMCP ),Parks Evening of Ice Skating at World Ice Arena,Agency Produced Event,Family Festival,Play,General Public,142,3
Recreation,Department of Education,4/21/2018 0:00,Queens,Other,Long Island City YMCA,DOE CED Distirct 30 Healthy Kids Day,Community Based Event,Sport,Fitness,Children;#Teens,350,4
Recreation,Council Member Donovan Mitchell,5/5/2018 12:00,Queens,Park,Springfield Park,Spring Scavenger & Egg Hunt,Community Based Event,Family Festival,Play,General Public,250,4
Recreation,Council Member Rory Lancman,5/20/2018 13:00,Queens,Park,Rufus King Park,Family Day @ Rufus King Park,Community Based Event,Family Festival,Play,General Public,450,4
Recreation,Council member Rory Lancman,6/3/2018 0:00,Queens,Playground,Utopia Playground,Family Day at Utopia Playground,Community Based Event,Family Festival,Play,General Public,450,4
Recreation,Council Member Rory Lancman,6/2/2018 13:00,Queens,Playground,Playground Seventy Five,Family Day @ Playground 75,Community Based Event,Family Festival,Play,General Public,175,3
Recreation,Council Member Rory Lancman,6/10/2018 13:00,Queens,Playground,Hoover Manton Playground,Family Day @ Hoover Manton,Community Based Event,Family Festival,Play,General Public,348,4
Recreation,Council Member Rory Lancman,6/9/2018 13:00,Queens,Playground,Turtle Playground,Family Day,Community Based Event,Family Festival,Play,General Public,129,3
Recreation,Council Member Adrienne Adams,6/9/2018 12:00,Queens,Playground,"Phil ""Scooter"" Rizzuto Park",Summer Festival,Community Based Event,Family Festival,Play,General Public,240,4
Recreation,,6/9/2018 11:00,Queens,Recreation Center,Al Oerter Recreation Center,Street Hockey Floor Festival,Tournament/Competition,Sport,Tier 1,Children,38,2
Recreation,,6/9/2018 9:00,Queens,Park,Roy Wilkins,NYC Parks Pickleball Tournament,Tournament/Competition,Sport,Tier 3,Young Adult;#Adults;#Seniors,56,2
Recreation,,6/14/2018 20:30,Queens,Playground,Hallets Cove Playground,MUTS - Zootopia,Community Based Event,Mobile Unit,Movies,General Public,112,3
Recreation,,5/19/2018 20:00,Queens,Park,Addabbo Park ( Tudor Field ),MUTS - Zootopia,Community Based Event,Mobile Unit,Movies,General Public,94,2
Recreation,,5/25/2018 20:00,Queens,Playground,Frank D. O'Connor Playground,MUTS - COCO,Community Based Event,Mobile Unit,Movies,General Public,236,3
Recreation,,5/26/2018 20:00,Queens,Playground,Gorman,MUTS - Finding Dory,Community Based Event,Mobile Unit,Movies,General Public,169,3
Recreation,,6/8/2018 20:00,Queens,Playground,The Painter's Playground,MUTS - Captain Underpants: The First Epic,Community Based Event,Mobile Unit,Movies,General Public,148,3
Recreation,,6/1/2018 20:00,Queens,Other,Rory Staunton Field,MUTS - Paddington,Community Based Event,Mobile Unit,Movies,General Public,112,3
Recreation,,6/6/2018 20:00,Queens,Park,Yellowstone Park,MUTS - 101 Dalmations(1961 Version ),Community Based Event,Mobile Unit,Movies,General Public,74,2
Recreation,,6/8/2018 20:30,Queens,Playground,Paul Raimonda Playground,MUTS - Ferdinand,Community Based Event,Mobile Unit,Movies,General Public,101,3
Recreation,,6/9/2018 20:30,Queens,Park,Brookville Park,MUTS - Black Panther,Community Based Event,Mobile Unit,Movies,General Public,191,3
Recreation,,6/14/2018 20:30,Bronx,Playground,Lozada Playground,Movies Under The Stars: Transformers The last Knight,Community Based Event,Mobile Unit,Movies,General Public,137,3
Recreation,Council Member Kallos,6/13/2018 20:00,Manhattan,Park,St. Catherine's Park,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,200,3
Recreation,,6/13/2018 20:30,Bronx,Playground,Slattery Playground,Movies Under The Stars: The Emoji Movie,Community Based Event,Mobile Unit,Movies,General Public,17,1
Recreation,,5/25/2018 20:15,Bronx,Park,Williamsbridge Oval,Movies Under The Stars: Toy Story,Community Based Event,Mobile Unit,Movies,General Public,226,3
Recreation,,6/12/2018 20:00,Manhattan,Playground,Samuel N. Bennerson 2nd Playground,Movies Under the Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,300,3
Recreation,Jazz Foundation of America,6/9/2018 18:00,Manhattan,Park,J. Hood Wright Park,"Arts, Culture & Fun: Ray Mantilla in Concert",Community Based Event,Performance,Music,General Public,220,3
Recreation,MOCA,6/8/2018 20:00,Manhattan,Park,Columbus Park,Movies Under the Stars: MULAN,Community Based Event,Mobile Unit,Movies,General Public,600,5
Recreation,Councilman Kallos,6/9/2018 0:00,Manhattan,Park,John Jay Park,Movies Under the Stars: Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,350,4
Recreation,Historic Harlem Parks,6/8/2018 15:00,Manhattan,Park,St. Nicholas Park,Skate Night,Community Based Event,Fitness,Fitness,General Public,100,3
Recreation,Councilman Johnson,6/7/2018 20:00,Manhattan,Playground,Corporal John A. Seravalli Playground,"Movies Under the Stars: Three Billboards Outside Ebbing, Missouri",Community Based Event,Mobile Unit,Movies,General Public,250,3
Recreation,Councilman Johnson,6/6/2018 0:00,Manhattan,Park,De Witt Clinton Park,Movies Under the Stars: Boss Baby,Community Based Event,Mobile Unit,Movies,General Public,95,2
Recreation,Council Member Kallos,6/9/2018 0:00,Manhattan,Park,John Jay Park,Family Fun Day,Community Based Event,Family Festival,Play,Children;#General Public,800,5
Recreation,,6/8/2018 0:00,Staten Island,Playground,Allen F Kivlehan Playground,Movies Under the Stars: Moana,Community Based Event,Mobile Unit,Movies,General Public,95,2
Recreation,,6/8/2018 0:00,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Fences,Community Based Event,Mobile Unit,Movies,General Public,115,3
Recreation,,6/9/2018 0:00,Staten Island,Park,LaTourette Park & Golf Course,Movies Under the Stars: Field of Dreams,Community Based Event,Mobile Unit,Movies,General Public,15,1
Recreation,,5/26/2018 12:00,Bronx,Other,Lafayette Ave & Edgewater Road,The amazing Bronx river flotilla,Community Based Event,Mobile Unit,Play,Children;#Young Adult;#Adults;#General Public,25,1
Recreation,,5/22/2018 12:00,Bronx,Park,Van Cortlandt Park,Play Mobile at VC,Community Based Event,Mobile Unit,Play,General Public;#Children,100,3
Recreation,,5/20/2018 11:00,Bronx,Other,Castle hill YMCA,YMCA- Hispanic Grand Council Event,Community Based Event,Mobile Unit,Play,Children;#Young Adult;#General Public,30,1
Recreation,,6/9/2018 20:30,Bronx,Park,St. Mary's Park,Movies Under The Star's: Thor Ragnorok,Community Based Event,Mobile Unit,Movies,General Public,122,3
Recreation,,6/8/2018 20:30,Bronx,Park,Ferry Point Park,Movies Under The Stars: Guardians of The Galaxy Vol. 2,Community Based Event,Mobile Unit,Movies,General Public,16,1
Recreation,,6/7/2018 0:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Movie Under the Stars: Moonlight,Community Based Event,Arts/Culture,Movies,Adults;#Young Adult;#Seniors;#General Public;#Adaptive;#Teens,93,2
Council Member Bill Perkins,Council Member Bill Perkins,6/2/2018 12:00,Manhattan,Park,Martin Luther King Jr. Park,Family Fun Day,Community Based Event,Family Festival,Play,General Public;#Children,500,5
Recreation,Council Member Perkins,6/5/2018 20:30,Manhattan,Park,St. Nicholas Park,Movies Under the Stars: Lady Bird,Community Based Event,Mobile Unit,Movies,General Public,127,3
Recreation,,6/2/2018 20:30,Bronx,Park,Van Cortlandt Park/ Memorial Grove,Movies Under The Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,38,1
Recreation,Council Member Kallos,6/2/2018 20:30,Manhattan,Playground,Samuel Seabury Playground,Movies Under the Stars: Deep,Community Based Event,Mobile Unit,Movies,General Public,107,3
Recreation,"Imagine Nation, Historic Harlem Parks",6/1/2018 18:00,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars & Wakanda Fashion Show: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,1400,5
Recreation,,5/22/2018 12:00,Bronx,Park,Van Cortlandt Park,Play at Van Courtland,Community Based Event,Mobile Unit,Play,Children,70,2
Recreation,,5/12/2018 9:00,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Borough President Event,Community Based Event,Mobile Unit,Play,Children;#Young Adult;#Adults,30,1
Recreation,,6/1/2018 20:30,Bronx,Playground,Burns Playground,Movies Under The Stars: The Nut Job 2,Community Based Event,Mobile Unit,Movies,General Public,35,1
Recreation,Friends Of The Parks,5/26/2018 20:00,Bronx,Park,Franz Sigel Park,Movies Under The Stars: Jumanji: Welcome to the Jungle,Community Based Event,Mobile Unit,Movies,General Public,96,2
Recreation,,5/12/2018 20:00,Bronx,Park,Van Cortlandt Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,5/19/2018 20:00,Bronx,Playground,Claremont Park,Movies Under The Stars: Up,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,5/18/2018 20:00,Bronx,Park,St. James Park,Movies Under The Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,29,1
Recreation,,6/1/2018 9:00,Staten Island,Park,Westerleigh Park,PS 30 Carnival,Community Based Event,Mobile Unit,Play,Young Adult;#Tot;#Children,150,3
Recreation,,6/1/2018 20:30,Staten Island,Park,Willowbrook Park,Movies Under the Stars: Thor Ragnarok,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,Harlem Historic Parks,5/25/2018 20:30,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: Lilies of the Field,Community Based Event,Mobile Unit,Movies,General Public,40,2
Recreation,,5/24/2018 20:30,Manhattan,Park,Sara D. Roosevelt Park,Movies Under the Stars: The House,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,4/12/2018 10:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Baddle of the Paddle,Tournament/Competition,Sport,Tier 3,Adults;#Seniors,60,2
Recreation,,5/30/2018 0:00,Manhattan,Park,Seward Park,Movies Under the stars: Ghost in the Shell,Community Based Event,Mobile Unit,Movies,General Public,80,2
Recreation,NYPD 10th Precinct Community Affairs,6/14/2018 16:00,Manhattan,Recreation Center,Chelsea Recreation Center,Cops VS Kids Basketball,Local Event,Sport,Tier 1,Children,55,2
Recreation,,9/14/2018 16:00,Manhattan,Recreation Center,Chelsea Recreation Center,Chelsea Rec Back to School Bonanza,Community Based Event,Sport,Tier 3,Children,0,1
Recreation,,5/19/2018 14:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,King of the Court Volleyball Tournament,Tournament/Competition,Sport,Tier 2,Young Adult;#Teens,45,2
Recreation,,5/26/2018 20:30,Manhattan,Playground,Sol Bloom Playground,Movies Under the Stars: Spiderman Homecoming,Community Based Event,Mobile Unit,Movies,General Public,95,2
Recreation,"Council Member Kallos, Agostino Face Paint & Send in the Clowns",5/26/2018 20:30,Manhattan,Other,William F. Passannante Ballfield,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,"ImageNation, Historic Harlem Parks",5/25/2018 20:30,Manhattan,Park,Marcus Garvey Park,Movies Under the Stars: Lilies of the Field,Community Based Event,Mobile Unit,Movies,General Public,40,2
Recreation,,5/25/2018 20:10,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Despicable Me 2,Community Based Event,Mobile Unit,Movies,General Public,110,3
Recreation,,5/24/2018 15:00,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Cops VS teens,Tournament/Competition,Sport,Tier 1,Teens;#Adults;#Young Adult,16,1
Recreation,,5/23/2018 0:00,Manhattan,Park,James J Walker Park,Family Fun Fit Fusion,Community Based Event,Fitness,Fitness,Tot;#Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,125,3
Recreation,"Council Member Kallos, Send in the Clowns, Agostino face paint",5/11/2018 20:25,Manhattan,Park,Carl Schurz Park,Movies Under the Stars: Ferdinand,Community Based Event,Mobile Unit,Movies,General Public,400,4
Recreation,,5/10/2018 20:15,Manhattan,Recreation Center,Highbridge Recreation Center,Movies Under the Stars: Selena,Community Based Event,Mobile Unit,Movies,General Public,35,1
Recreation,"KEEN, Penguin Random House Publishing Company.",5/23/2018 20:30,Manhattan,Playground,Happy Warrior Playground,Movies Under the Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,100,3
Recreation,Ocean Breeze,5/18/2018 0:00,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: The Lego Movie,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,,5/11/2018 20:00,Staten Island,Park,Cedar Grove Park,Movies Under the Stars: Sing,Community Based Event,Mobile Unit,Movies,General Public,150,3
Recreation,,5/5/2018 20:00,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,175,3
Recreation,,5/4/2018 19:00,Staten Island,Park,Father Macris Park,Movies Under the Stars: Angels In the Outfield,Community Based Event,Mobile Unit,Movies,General Public,50,2
Recreation,Bronx Recreation,6/30/2018 11:00,Bronx,Recreation Center,Hunts Point Recreation Center/Julio Ca baseball field,Bronx Recreation Summerfest,Community Based Event,Arts/Culture,Play,Children;#Tot;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public,400,4
Recreation,,3/16/2018 0:00,Staten Island,Other,P.S 18,She's On Point,Community Based Event,Fitness,,Children;#Teens,55,2
Recreation,,3/3/2018 0:00,Staten Island,Recreation Center,Tony Dapolito Recreation Center,City-Wide Allstar Showcase,Tournament/Competition,Sport,Tier 1,Children;#Teens,250,4
Recreation,,1/20/2018 0:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Event New Year Ultimate Fitness Frenzy,Local Event,Fitness,,Teens;#Young Adult;#Adults;#Seniors,50,2
Recreation,,1/31/2018 0:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Event National Women & Girls Sports Day,Community Based Event,Sport,Tier 1,Tot;#Children,757,5
Recreation,,2/14/2018 0:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Artist of the Month,Local Event,Arts/Culture,Lecture/Panel/Talk,Children;#Young Adult;#Adults;#Seniors,4,1
Recreation,,2/14/2018 9:00,Brooklyn,Recreation Center,McCarren Play Center,Tots Valentines Day Brunch,Local Event,Arts/Culture,Play,Tot,102,3
Recreation,,2/22/2018 9:00,Brooklyn,Recreation Center,McCarren Play Center,Tots History month Event,Local Event,Arts/Culture,Academics,Tot,10,1
Recreation,,3/2/2018 9:00,Brooklyn,Recreation Center,McCarren Play Center,Dr. Sues Birthday Celebration,Local Event,Arts/Culture,Academics,Tot,30,1
Recreation,,3/30/2018 10:00,Brooklyn,Recreation Center,McCarren Play Center,Easter Extravaganza,Local Event,Arts/Culture,Play,Children;#Tot,104,3
Recreation,,3/29/2018 10:00,Brooklyn,Recreation Center,McCarren Play Center,March Madness,Local Event,Sport,Tier 1,Tot,150,3
Recreation,Basketball city,4/7/2018 0:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Basketball tournament,Tournament/Competition,Sport,Tier 1,Teens,15,1
Recreation,,4/12/2018 18:30,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Battle of the Paddles Special Event,Tournament/Competition,Sport,,Adults;#Seniors;#Young Adult,60,2
