Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,2/10/2017 18:00,Bronx,Recreation Center,West Bronx Recreation Center,Arts & Crafts / Valentine,Local Event,Arts/Culture,Play,Children,12,1
Recreation,,1/28/2017 18:00,Bronx,Recreation Center,St. Mary's Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Oysters (Book presentation & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,12,1
Recreation,,3/4/2017 10:00,Bronx,Recreation Center,St. James Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Women who read are dangerous (Book pres. & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,10,1
Recreation,,3/1/2017 17:00,Bronx,Recreation Center,St. James Recreation Center,Mardi Gras Celebration,Local Event,Arts/Culture,Play,Seniors,9,1
Recreation,,3/11/2017 18:00,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,40,2
Recreation,,3/18/2017 18:00,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,20,1
Recreation,,3/25/2017 18:00,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS Book presentation & cottage visit",Local Event,Arts/Culture,AC&F,General Public,20,1
Recreation,,1/6/2017 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Kwanzaa,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Adults;#Children,50,2
Recreation,,1/13/2017 10:00,Bronx,Recreation Center,Owen Dolen Recreation Center,Special Event- Three Kings Ceremony,Local Event,Arts/Culture,Play,Children,21,1
Recreation,,2/25/2017 0:00,Bronx,Recreation Center,Owen Dolen Recreation Center,"Arts, Culture & Fun Presents: Make your mark: Graffiti Writing Workshop",Local Event,Arts/Culture,AC&F,Teens;#Adults;#Seniors;#Young Adult,25,1
Recreation,,2/14/2017 9:00,Brooklyn,Recreation Center,McCarren Play Center,Tots Valentines Day Brunch,Local Event,Arts/Culture,Play,Tot,95,3
Recreation,,2/23/2017 9:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,FDNY hands on training,Local Event,Sport,Fitness,Young Adult;#Teens;#Adults,55,2
Recreation,,2/28/2018 10:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Puppet show for toddlers,Local Event,Performance,Play,Tot,75,2
Recreation,,2/28/2018 0:00,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Black history month celebration,Local Event,Arts/Culture,,Children;#Teens,55,2
Recreation,,2/14/2017 13:00,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Valentine's Latin Dance,Local Event,Arts/Culture,Dance,Tot;#Children;#Young Adult;#Adults;#Seniors;#Teens,60,2
Recreation,,3/6/2017 12:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Tea Time,Local Event,Arts/Culture,Fitness,Adults;#Seniors,27,1
Recreation,,3/10/2017 10:00,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Japanese Culture Program,Local Event,Arts/Culture,Play,Tot;#Children,33,1
Recreation,,3/17/2017 9:00,Brooklyn,Recreation Center,McCarren Play Center,St. Patricks Day event,Local Event,Arts/Culture,Play,Tot;#Children,80,2
Recreation,,8/14/2018 20:30,Queens,Park,Alley Pond Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/13/2018 20:30,Queens,Park,Highland Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/12/2018 20:30,Queens,Other,Beach 94th Street,"Movies Under the Stars ""North Shore""",Community Based Event,Mobile Unit,Movies,General Public,217,3
Recreation,,8/11/2018 20:30,Queens,Other,Beach 94th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/10/2018 20:30,Queens,Other,Beach 59th Street,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/10/2018 0:00,Manhattan,Recreation Center,Hansborough Recreation Center,Movies Under the Stars - Malcom X,Community Based Event,Mobile Unit,Movies,Teens;#Adults;#Seniors,55,2
Recreation,,8/10/2018 0:00,Manhattan,Park,Ruppert Park,Afternoon Concert: The Blue Dahlia,Community Based Event,Performance,Music,General Public,216,3
Recreation,,8/7/2018 18:00,Manhattan,Park,Washington Square Park,Dance Away the Night Series: Strictly Tango Nights,Community Based Event,Fitness,Dance,Adults;#Seniors,175,3
Recreation,,8/10/2018 20:00,Brooklyn,Park,Msgr. McGolrick Park,"Movies Under the Stars : "" The Greatest Showman""",Community Based Event,Mobile Unit,Movies,General Public,250,4
Recreation,,8/9/2018 20:00,Brooklyn,Park,Commodore Barry Park,"Movies Under the Stars : ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,700,5
Recreation,,8/8/2018 20:00,Brooklyn,Park,50 Kent Street,"Movies Under the Stars : Dr Strange Love""",Community Based Event,Mobile Unit,Movies,General Public,200,4
Recreation,,8/5/2018 20:00,Brooklyn,Other,Randall's Island Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,700,5
Recreation,,8/10/2018 20:00,Bronx,Park,Pelham Bay Park,Movies Under The Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,65,2
Recreation,,8/6/2018 20:30,Queens,Park,Cunningham Park,"Movies Under the Stars: ""Black Panther""",Community Based Event,Mobile Unit,Movies,General Public,931,5
Recreation,,8/10/2018 20:30,Manhattan,Park,Twenty-Four Sycamores Park,"Movies Under the Stars: ""Peter Rabbit""",Community Based Event,Mobile Unit,Movies,General Public,99,3
Recreation,ASPCA,8/9/2018 20:30,Manhattan,Playground,Matthew P. Sapolin Playground,"Movies Under the Stars: ""Isle of Dogs""",Community Based Event,Mobile Unit,Movies,General Public,315,4
Recreation,Council Member Rivera,8/8/2018 20:30,Manhattan,Park,Bellevue South Park,"Movies Under the Stars: ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,236,4
Recreation,,8/9/2018 20:15,Bronx,Recreation Center,West Bronx Recreation Center,Movies Under The Stars: Wonder,Community Based Event,Mobile Unit,Movies,General Public,18,1
Recreation,,8/9/2018 20:30,Queens,Park,Macneil Park,"Movies Under the Stars ""Wonder Woman""",Community Based Event,Mobile Unit,Movies,General Public,189,3
Recreation,,8/8/2018 20:15,Bronx,Park,Vidalia Park,Movies Under The Stars: The Lego Batman Movie,Community Based Event,Mobile Unit,Movies,General Public,46,2
Recreation,,8/7/2018 20:15,Bronx,Recreation Center,Owen Dolen Recreation Center,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,0,1
Recreation,,8/7/2018 20:30,Queens,Park,Baisley Pond,"Movies Under the Stars ""Jumanji""",Community Based Event,Mobile Unit,,General Public,0,1
Recreation,,8/6/2018 20:30,Queens,Park,Forest Park Bandshell,"Movies Under the Stars ""Beauty and the Beast""",Community Based Event,Mobile Unit,,General Public,340,4
Recreation,,8/5/2018 20:30,Queens,Other,Beach 94th Street,"Movies Under the Stars ""Escape to Witch Mountain""",Community Based Event,Mobile Unit,,General Public,177,3
Recreation,,8/4/2018 20:30,Queens,Playground,Paul Raimonda Playground,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,164,3
